displacement,cylinders,weight,mpg
1248,4,1105,28.09
1248,4,1105,28.09
1462,4,1010,21.56
1462,4,1010,21.56
1462,4,1010,21.56
1462,4,1010,21.56
1462,4,1010,20.28
1462,4,1010,20.28
1462,4,1010,20.28
1498,4,1105,26.82
1498,4,1105,26.32
1498,4,1105,26.32
1598,4,1137,15.41
1498,4,1210,21.13
1598,4,1137,15.41
1498,4,1210,21.13
1498,4,1228,21.72
1598,4,1187,14.84
1498,4,1228,21.72
1498,4,1210,21.13
1598,4,1137,15.41
1598,4,1187,14.84
1598,4,1137,15.41
1598,4,1187,14.84
1498,4,1210,21.13
1498,4,1228,21.72
1591,4,1180,15.29
1591,4,1180,15.29
1591,4,1180,15.29
1591,4,1180,15.29
1591,4,1180,15.29
1591,4,1180,15.29
1956,3,1080,16.7
2499,4,1935,10.3
2499,4,1945,10.3
1898,4,1935,10.3
2360,4,1602,9.62
1991,4,1525,13.8
2143,4,1585,17.9
2143,4,1585,17.9
1991,4,1720,13.8
2143,4,1585,17.9
1991,4,1720,13.8
1993,4,1620,23.1
1995,4,1705,18.12
2993,6,1705,14.69
1998,6,1705,15.01
2993,6,1865,16.46
2993,6,1865,16.46
1995,4,1720,21.76
1984,6,1865,10.8
5000,8,1720,12.05
1997,6,1577,15.3
1997,8,1665,10.7
1997,4,1730,10.85
4395,8,1950,9.8
3902,8,1525,5.5
1197,3,830,21.5
1197,3,830,21.5
1199,3,1017,23.84
1047,3,1085,27.28
1199,3,1017,23.84
2487,4,1665,23.2
1968,4,2115,19.2
3456,6,2300,15.4
3456,6,2322,15.4
3456,6,2345,15.4
6749,12,2649,23
6749,12,2694,23
1172,4,1095,15.7
1172,4,1095,20.5
1248,4,1165,20.3
1248,4,1095,21.2
1496,4,1090,17.1
1496,4,1095,17.1
1498,4,1105,17.1
1496,4,1135,17.8
1496,4,1115,17.8
1496,4,1110,17.8
1496,4,1125,17.8
1496,4,1120,17.1
1498,4,1105,17.1
1496,4,1090,17.1
1496,4,1095,17.1
1496,4,1090,17.1
1496,4,1095,17.1
1498,4,1105,17.1
1395,4,1260,16.7
1968,4,1340,21
1395,4,1260,16.7
1798,4,1376,15.1
1968,4,1340,21
1968,4,1395,19.5
1798,4,1376,15.1
1968,4,1395,19.5
1395,4,1260,16.7
1968,4,1340,21
1798,4,1376,15.1
1968,4,1395,19.5
2995,6,2030,11.6
2995,8,2200,15.3
1461,4,1140,21
1461,4,1140,21
1461,4,1140,21
2477,4,1935,10.77
2477,4,1935,10.77
2477,4,2040,10.77
2477,4,1935,10.77
2477,4,1935,10.77
3993,8,2417,4
5998,12,2475,4
1497,4,1063,17.4
1497,4,1061,17.8
1497,4,1084,17.4
1497,4,1100,18
1498,4,1147,25.6
1498,4,1148,25.6
1498,4,1170,25.1
1498,4,1175,25.1
1497,4,1107,22.6
1497,4,1080,17.8
3200,4,2335,11.56
